产品编号,产品编号,产品品类,销售区域,预测日期,实际销量,预测销量,库存数量,安全库存,补货数量
产品003,产品003,服饰类,华东,2023-11-26,73,71,0,45,116
产品003,产品003,服饰类,华东,2023-11-27,82,70,0,45,115
产品003,产品003,服饰类,华东,2023-11-28,76,68,0,45,113
产品003,产品003,服饰类,华东,2023-11-29,75,69,0,45,114
产品003,产品003,服饰类,华东,2023-11-30,76,67,0,45,112
产品003,产品003,服饰类,华东,2023-12-01,84,68,0,45,113
产品003,产品003,服饰类,华东,2023-12-04,51,71,70,45,46
产品003,产品003,服饰类,华东,2023-12-05,70,67,19,45,93
产品003,产品003,服饰类,华东,2023-12-06,81,68,0,45,113
产品003,产品003,服饰类,华东,2023-12-07,84,67,0,45,112
产品003,产品003,服饰类,华东,2023-12-08,69,68,0,45,113
产品003,产品003,服饰类,华东,2023-12-09,75,68,0,45,113
产品003,产品003,服饰类,华东,2023-12-10,78,69,0,45,114
产品003,产品003,服饰类,华东,2023-12-11,78,70,0,45,115
产品003,产品003,服饰类,华东,2023-12-12,99,70,0,45,115
产品003,产品003,服饰类,华东,2023-12-13,77,69,0,45,114
产品003,产品003,服饰类,华东,2023-12-14,78,69,0,45,114
产品003,产品003,服饰类,华东,2023-12-15,70,68,0,45,113
产品003,产品003,服饰类,华东,2023-12-16,68,66,0,45,111
产品003,产品003,服饰类,华东,2023-12-17,87,67,0,45,112
产品003,产品003,服饰类,华东,2023-12-18,79,65,0,45,110
产品003,产品003,服饰类,华东,2023-12-19,85,64,0,45,109
产品003,产品003,服饰类,华东,2023-12-20,79,66,0,45,111
产品003,产品003,服饰类,华东,2023-12-21,77,65,0,45,110
产品003,产品003,服饰类,华东,2023-12-22,74,66,0,45,111
产品003,产品003,服饰类,华东,2023-12-23,78,62,0,45,107
产品003,产品003,服饰类,华东,2023-12-24,66,63,0,45,108
产品003,产品003,服饰类,华东,2023-12-25,57,66,0,45,111
产品003,产品003,服饰类,华东,2023-12-26,89,67,0,45,112
产品003,产品003,服饰类,华东,2023-12-27,56,67,0,45,112
产品003,产品003,服饰类,华东,2023-12-28,56,69,0,45,114
产品003,产品003,服饰类,华东,2023-12-29,93,68,0,45,113
产品003,产品003,服饰类,华东,2023-12-30,59,66,0,45,111
产品003,产品003,服饰类,华东,2023-12-31,89,69,0,45,114
产品004,产品004,食品类,华西,2023-11-19,48,63,0,40,103
产品004,产品004,食品类,华西,2023-11-20,47,64,0,40,104
产品004,产品004,食品类,华西,2023-11-21,64,60,0,40,100
产品004,产品004,食品类,华西,2023-11-22,81,62,0,40,102
产品004,产品004,食品类,华西,2023-11-23,64,63,0,40,103
产品004,产品004,食品类,华西,2023-11-24,53,63,0,40,103
产品004,产品004,食品类,华西,2023-11-25,41,63,0,40,103
产品004,产品004,食品类,华西,2023-11-26,53,62,0,40,102
产品004,产品004,食品类,华西,2023-11-27,57,62,0,40,102
产品004,产品004,食品类,华西,2023-11-28,67,62,0,40,102
产品004,产品004,食品类,华西,2023-11-29,76,60,0,40,100
产品004,产品004,食品类,华西,2023-11-30,57,62,0,40,102
产品004,产品004,食品类,华西,2023-12-01,62,63,0,40,103
产品004,产品004,食品类,华西,2023-12-04,56,63,87,40,16
产品004,产品004,食品类,华西,2023-12-05,60,63,31,40,72
产品004,产品004,食品类,华西,2023-12-06,56,63,0,40,103
产品004,产品004,食品类,华西,2023-12-07,69,64,0,40,104
产品004,产品004,食品类,华西,2023-12-08,61,61,0,40,101
产品004,产品004,食品类,华西,2023-12-09,52,61,0,40,101
产品004,产品004,食品类,华西,2023-12-10,60,66,0,40,106
产品004,产品004,食品类,华西,2023-12-11,61,65,0,40,105
产品004,产品004,食品类,华西,2023-12-12,36,62,0,40,102
产品004,产品004,食品类,华西,2023-12-13,51,61,0,40,101
产品004,产品004,食品类,华西,2023-12-14,61,64,0,40,104
产品004,产品004,食品类,华西,2023-12-15,45,61,0,40,101
产品004,产品004,食品类,华西,2023-12-16,44,60,0,40,100
产品004,产品004,食品类,华西,2023-12-17,44,62,0,40,102
产品004,产品004,食品类,华西,2023-12-18,60,66,0,40,106
产品004,产品004,食品类,华西,2023-12-19,44,62,0,40,102
产品004,产品004,食品类,华西,2023-12-20,62,63,0,40,103
产品004,产品004,食品类,华西,2023-12-21,59,60,0,40,100
产品004,产品004,食品类,华西,2023-12-22,56,62,0,40,102
产品004,产品004,食品类,华西,2023-12-23,59,59,0,40,99
产品004,产品004,食品类,华西,2023-12-24,52,58,0,40,98
产品004,产品004,食品类,华西,2023-12-25,48,61,0,40,101
产品004,产品004,食品类,华西,2023-12-26,64,60,0,40,100
产品004,产品004,食品类,华西,2023-12-27,56,60,0,40,100
产品004,产品004,食品类,华西,2023-12-28,53,60,0,40,100
产品004,产品004,食品类,华西,2023-12-29,60,63,0,40,103
产品004,产品004,食品类,华西,2023-12-30,41,65,0,40,105
产品004,产品004,食品类,华西,2023-12-31,62,62,0,40,102
产品005,产品005,食品类,华北,2023-11-19,53,61,0,49,110
产品005,产品005,食品类,华北,2023-11-20,59,60,0,49,109
产品005,产品005,食品类,华北,2023-11-21,60,60,0,49,109
产品005,产品005,食品类,华北,2023-11-22,54,61,0,49,110
产品005,产品005,食品类,华北,2023-11-23,70,61,0,49,110
产品005,产品005,食品类,华北,2023-11-24,31,65,0,49,114
产品005,产品005,食品类,华北,2023-11-25,60,60,0,49,109
产品005,产品005,食品类,华北,2023-11-26,48,61,0,49,110
产品005,产品005,食品类,华北,2023-11-27,45,62,0,49,111
产品005,产品005,食品类,华北,2023-11-28,51,59,0,49,108
产品005,产品005,食品类,华北,2023-11-29,44,60,0,49,109
产品005,产品005,食品类,华北,2023-11-30,64,61,0,49,110
产品005,产品005,食品类,华北,2023-12-01,39,59,0,49,108
产品005,产品005,食品类,华北,2023-12-05,43,62,99,49,12
产品005,产品005,食品类,华北,2023-12-06,41,62,56,49,55
产品005,产品005,食品类,华北,2023-12-07,32,61,15,49,95
产品005,产品005,食品类,华北,2023-12-08,69,61,0,49,110
产品005,产品005,食品类,华北,2023-12-09,36,61,0,49,110
产品005,产品005,食品类,华北,2023-12-10,42,60,0,49,109
产品005,产品005,食品类,华北,2023-12-11,49,62,0,49,111
产品005,产品005,食品类,华北,2023-12-12,44,60,0,49,109
产品005,产品005,食品类,华北,2023-12-13,43,60,0,49,109
产品005,产品005,食品类,华北,2023-12-14,35,61,0,49,110
产品005,产品005,食品类,华北,2023-12-15,57,59,0,49,108
产品005,产品005,食品类,华北,2023-12-16,33,60,0,49,109
产品005,产品005,食品类,华北,2023-12-17,38,60,0,49,109
产品005,产品005,食品类,华北,2023-12-18,32,59,0,49,108
产品005,产品005,食品类,华北,2023-12-19,42,60,0,49,109
产品005,产品005,食品类,华北,2023-12-20,47,61,0,49,110
产品005,产品005,食品类,华北,2023-12-21,47,60,0,49,109
产品005,产品005,食品类,华北,2023-12-22,63,62,0,49,111
产品005,产品005,食品类,华北,2023-12-23,31,60,0,49,109
产品005,产品005,食品类,华北,2023-12-24,31,59,0,49,108
产品005,产品005,食品类,华北,2023-12-25,60,60,0,49,109
产品005,产品005,食品类,华北,2023-12-26,51,59,0,49,108
产品005,产品005,食品类,华北,2023-12-27,55,59,0,49,108
产品005,产品005,食品类,华北,2023-12-28,45,59,0,49,108
产品005,产品005,食品类,华北,2023-12-29,44,61,0,49,110
产品005,产品005,食品类,华北,2023-12-30,45,60,0,49,109
产品005,产品005,食品类,华北,2023-12-31,32,59,0,49,108
